ISO639-2B,ISO639-2T,ISO639-1,lang_ja,lang
aar,,aa,アファル語,Afar
abk,,ab,アブハズ語,Abkhazian
ace,,,アチェ語,Achinese
ach,,,アチョリ語,Acoli
ada,,,アダグメ語,Adangme
ady,,,アディゲ語,Adyghe; Adygei
afa,,,アフロ・アジア語族(その他),Afro-Asiatic languages 
afh,,,アフリヒリ,Afrihili
afr,,af,アフリカーンス語,Afrikaans
ain,,,アイヌ語,Ainu
aka,,ak,アカン語,Akan
akk,,,アッカド語,Akkadian
alb,sqi,sq,アルバニア語,Albanian
ale,,,アリュート語,Aleut
alg,,,アルゴンキン語族,Algonquian languages
alt,,,南アルタイ語,Southern Altai
amh,,am,アムハラ語,Amharic; Abyssinian
ang,,,古英語,Old English (ca. 450-1100)
anp,,,アンガ語,Angika
apa,,,アパッチ語族,Apache languages
ara,,ar,アラビア語,Arabic
arc,,,アラム語,Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE) 
arg,,an,アラゴン語,Aragonese
arm,hye,hy,アルメニア語,Armenian
arn,,,アラウコ語族,Mapudungun; Mapuche
arp,,,アラパホ語,Arapaho
art,,,人工言語(その他),Artificial languages
arw,,,アラワク語族,Arawak
asm,,as,アッサム語,Assamese
ast,,,アストゥリアス語,Asturian; Bable; Leonese; Asturleonese
ath,,,アサパスカ語族,Athapascan languages
aus,,,オーストラリア先住民語,Australian languages
ava,,av,アバール語,Avaric
ave,,ae,アベスタ語,Avestan
awa,,,アワディー語,Awadhi
aym,,ay,アイマラ語,Aymara
aze,,az,アゼルバイジャン語,Azerbaijani
bad,,,バンダ語,Banda languages
bai,,,バミレケ諸語,Bamileke languages
bak,,ba,バシュキール語,Bashkir
bal,,,バルーチー語,Baluchi
bam,,bm,バンバラ語,Bambara
ban,,,バリ語,Balinese
baq,eus,eu,バスク語,Basque
bas,,,バサ語,Basa
bat,,,バルト語派(その他),Baltic languages
bej,,,ベジャ語,Beja; Bedawiyet
bel,,be,白ロシア語；ベラルーシ語,Belarusian; Byelorussian
